passenger,line,mod_cost
1511,311,20.0
1512,624,25.0
1513,319,96.0
1514,872,73.0
1515,180,52.0
1516,804,30.0
1517,521,124.0
1518,945,36.0
1519,484,22.0
1520,389,32.0
1521,662,40.0
1522,36,7.0
1523,800,78.0
1524,819,34.0
1525,120,123.0
1526,180,119.0
1527,539,58.0
1528,341,57.0
1529,289,55.0
1530,645,14.0
1531,495,42.0
1532,415,71.0
1533,748,21.0
1534,312,87.0
1535,783,81.0
1536,876,42.0
1537,582,78.0
1538,486,8.0
1539,277,46.0
1540,182,43.0
1541,825,54.0
1542,341,91.0
1543,489,35.0
1544,312,14.0
1545,824,106.0
1546,728,80.0
1547,394,44.0
1548,833,100.0
1549,987,58.0
1550,987,17.0
1551,813,69.0
1552,501,65.0
1553,555,53.0
1554,662,83.0
1555,883,27.0
1556,497,37.0
1557,291,45.0
1558,962,24.0
1559,626,14.0
1560,834,63.0
1561,27,28.0
1562,555,66.0
1563,94,70.0
1564,742,101.0
1565,233,58.0
1566,29,62.0
1567,597,45.0
1568,75,91.0
1569,726,50.0
1570,432,82.0
1571,748,65.0
1572,502,106.0
1573,749,34.0
1574,753,65.0
1575,548,67.0
1576,760,42.0
1577,589,154.0
1578,530,59.0
1579,95,102.0
1580,761,36.0
1581,387,93.0
1582,862,60.0
1583,113,51.0
1584,728,77.0
1585,577,74.0
1586,903,108.0
1587,568,48.0
1588,321,105.0
1589,688,85.0
1590,688,85.0
1591,299,167.0
1592,489,14.0
1593,568,44.0
1594,892,59.0
1595,509,21.0
1596,906,219.0
1597,250,55.0
1598,672,61.0
1599,581,53.0
1600,936,67.0
1601,107,147.0
1602,908,33.0
1603,577,73.0
1604,113,35.0
1605,779,24.0
1606,798,60.0
1607,182,62.0
1608,587,115.0
1609,936,48.0
1610,896,82.0
1611,896,41.0
1612,17,14.0
1613,664,89.0
1614,613,19.0
1615,745,49.0
1616,402,66.0
1617,53,61.0
1618,369,81.0
1619,514,63.0
1620,964,129.0
1621,790,18.0
1622,688,60.0
1623,555,51.0
1624,150,54.0
1625,166,64.0
1626,415,90.0
1627,870,53.0
1628,76,104.0
1629,426,152.0
1630,741,54.0
1631,131,23.0
1632,5,34.0
1633,387,60.0
1634,984,69.0
1635,582,46.0
1636,103,56.0
1637,126,74.0
1638,965,43.0
1639,175,88.0
1640,975,77.0
1641,867,125.0
1642,268,56.0
